RT	SSD	accuracy	rt	stop_signal	subject_nr	target					
1356.00018501	350	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	0	2.6
-	-	-	-	-	-	-	-	-	rest	2.6	2.6
1358.00004005	300	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	5.2	2.6
-	-	-	-	-	-	-	-	-	rest	7.8	2.6
1311.00010872	300	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	10.4	2.6
-	-	-	-	-	-	-	-	-	rest	13	2.6
1310.9998703	300	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	15.6	2.6
-	-	-	-	-	-	-	-	-	rest	18.2	2.6
1306.9999218	300	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	20.8	2.6
-	-	-	-	-	-	-	-	-	rest	23.4	2.6
1301.00011826	300	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	26	2.6
-	-	-	-	-	-	-	-	-	rest	28.6	2.6
1305.99999428	300	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	31.2	2.6
-	-	-	-	-	-	-	-	-	rest	33.8	2.6
1312.00003624	250	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	36.4	2.6
-	-	-	-	-	-	-	-	-	rest	39	2.6
1252.00009346	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	41.6	2.6
-	-	-	-	-	-	-	-	-	rest	44.2	2.6
1258.00013542	250	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	46.8	2.6
-	-	-	-	-	-	-	-	-	rest	49.4	2.6
1252.00009346	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	52	2.6
-	-	-	-	-	-	-	-	-	rest	54.6	2.6
1256.99996948	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	57.2	2.6
-	-	-	-	-	-	-	-	-	rest	59.8	2.6
1251.00016594	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	62.4	2.6
-	-	-	-	-	-	-	-	-	rest	65	2.6
1253.00002098	200	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	67.6	2.6
-	-	-	-	-	-	-	-	-	rest	70.2	2.6
1210.99996567	150	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	72.8	2.6
-	-	-	-	-	-	-	-	-	rest	75.4	2.6
1157.99999237	150	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	78	2.6
-	-	-	-	-	-	-	-	-	rest	80.6	2.6
1156.99982643	150	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	83.2	2.6
-	-	-	-	-	-	-	-	-	rest	85.8	2.6
1154.99997139	150	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	88.4	2.6
-	-	-	-	-	-	-	-	-	rest	91	2.6
1157.00006485	100	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	93.6	2.6
-	-	-	-	-	-	-	-	-	rest	96.2	2.6
1100.00014305	50	undefined	0	1	0	left	correct_stop	undefined	correct_stop_undefined	98.8	2.6
-	-	-	-	-	-	-	-	-	rest	101.4	2.6
1053.99990082	50	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	104	2.6
-	-	-	-	-	-	-	-	-	rest	106.6	2.6
1059.99994278	50	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	109.2	2.6
-	-	-	-	-	-	-	-	-	rest	111.8	2.6
1055.00006676	50	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	114.4	2.6
-	-	-	-	-	-	-	-	-	rest	117	2.6
1059.00001526	50	8	0.762000083923	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	119.6	2.6
-	-	-	-	-	-	-	-	-	rest	122.2	2.6
1062.00003624	50	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	124.8	2.6
-	-	-	-	-	-	-	-	-	rest	127.4	2.6
1059.00001526	50	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	130	2.6
-	-	-	-	-	-	-	-	-	rest	132.6	2.6
1062.99996376	100	8	0.511999845505	1	0	right	undefined	undefined	undefined_undefined	135.2	2.6
-	-	-	-	-	-	-	-	-	rest	137.8	2.6
1104.00009155	100	6	0.498000144958	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	140.4	2.6
-	-	-	-	-	-	-	-	-	rest	143	2.6
1107.00011253	100	8	0.888000011444	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	145.6	2.6
-	-	-	-	-	-	-	-	-	rest	148.2	2.6
1104.00009155	100	6	0.641000032425	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	150.8	2.6
-	-	-	-	-	-	-	-	-	rest	153.4	2.6
1105.99994659	100	6	0.769000053406	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	156	2.6
-	-	-	-	-	-	-	-	-	rest	158.6	2.6
1101.00007057	100	6	0.654000043869	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	161.2	2.6
-	-	-	-	-	-	-	-	-	rest	163.8	2.6
1100.00014305	100	6	0.758000135422	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	166.4	2.6
-	-	-	-	-	-	-	-	-	rest	169	2.6
1109.9998951	150	6	0.725999832153	1	0	left	undefined	undefined	undefined_undefined	171.6	2.6
-	-	-	-	-	-	-	-	-	rest	174.2	2.6
1151.99995041	150	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	176.8	2.6
-	-	-	-	-	-	-	-	-	rest	179.4	2.6
1157.00006485	150	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	182	2.6
-	-	-	-	-	-	-	-	-	rest	184.6	2.6
1153.99980545	150	6	0.827999830246	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	187.2	2.6
-	-	-	-	-	-	-	-	-	rest	189.8	2.6
1159.00015831	150	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	192.4	2.6
-	-	-	-	-	-	-	-	-	rest	195	2.6
1156.99982643	200	6	0.691999912262	1	0	left	undefined	undefined	undefined_undefined	197.6	2.6
-	-	-	-	-	-	-	-	-	rest	200.2	2.6
1203.00006866	200	8	0.496000051498	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	202.8	2.6
-	-	-	-	-	-	-	-	-	rest	205.4	2.6
1202.99983025	200	6	0.483000040054	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	208	2.6
-	-	-	-	-	-	-	-	-	rest	210.6	2.6
1203.99999619	200	8	0.52799987793	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	213.2	2.6
-	-	-	-	-	-	-	-	-	rest	215.8	2.6
1209.00011063	250	6	0.427999973297	1	0	right	undefined	undefined	undefined_undefined	218.4	2.6
-	-	-	-	-	-	-	-	-	rest	221	2.6
1263.00001144	200	undefined	0	1	0	left	correct_stop	undefined	correct_stop_undefined	223.6	2.6
-	-	-	-	-	-	-	-	-	rest	226.2	2.6
1200.00004768	200	6	0.621000051498	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	228.8	2.6
-	-	-	-	-	-	-	-	-	rest	231.4	2.6
1208.99987221	250	6	1.20899987221	1	0	left	undefined	undefined	undefined_undefined	234	2.6
-	-	-	-	-	-	-	-	-	rest	236.6	2.6
1260.99991798	200	undefined	0	1	0	left	correct_stop	undefined	correct_stop_undefined	239.2	2.6
-	-	-	-	-	-	-	-	-	rest	241.8	2.6
1210.00003815	200	8	0.514000177383	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	244.4	2.6
-	-	-	-	-	-	-	-	-	rest	247	2.6
1213.00005913	250	8	0.792999982834	1	0	right	undefined	undefined	undefined_undefined	249.6	2.6
-	-	-	-	-	-	-	-	-	rest	252.2	2.6
1255.00011444	250	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	254.8	2.6
-	-	-	-	-	-	-	-	-	rest	257.4	2.6
1256.99996948	250	6	0.757999897003	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	260	2.6
-	-	-	-	-	-	-	-	-	rest	262.6	2.6
1259.99999046	300	6	0.657999992371	1	0	left	undefined	undefined	undefined_undefined	265.2	2.6
-	-	-	-	-	-	-	-	-	rest	267.8	2.6
1307.00016022	350	8	0.604000091553	1	0	right	undefined	undefined	undefined_undefined	270.4	2.6
-	-	-	-	-	-	-	-	-	rest	273	2.6
1354.00009155	350	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	275.6	2.6
-	-	-	-	-	-	-	-	-	rest	278.2	2.6
1355.99994659	400	8	0.923000097275	1	0	right	undefined	undefined	undefined_undefined	280.8	2.6
-	-	-	-	-	-	-	-	-	rest	283.4	2.6
1407.99999237	400	8	1.0490000248	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	286	2.6
-	-	-	-	-	-	-	-	-	rest	288.6	2.6
1404.00004387	400	6	0.546999931335	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	291.2	2.6
-	-	-	-	-	-	-	-	-	rest	293.8	2.6
1401.00002289	400	8	0.578999996185	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	296.4	2.6
-	-	-	-	-	-	-	-	-	rest	299	2.6
1408.99991989	400	8	0.674000024796	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	301.6	2.6
-	-	-	-	-	-	-	-	-	rest	304.2	2.6
1404.99997139	400	6	0.549999952316	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	306.8	2.6
-	-	-	-	-	-	-	-	-	rest	309.4	2.6
1410.00008583	400	6	1.21000003815	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	312	2.6
-	-	-	-	-	-	-	-	-	rest	314.6	2.6
1411.00001335	400	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	317.2	2.6
-	-	-	-	-	-	-	-	-	rest	319.8	2.6
1406.00013733	400	6	0.736999988556	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	322.4	2.6
-	-	-	-	-	-	-	-	-	rest	325	2.6
1413.00010681	450	6	0.605000019073	1	0	left	undefined	undefined	undefined_undefined	327.6	2.6
-	-	-	-	-	-	-	-	-	rest	330.2	2.6
1453.99999619	450	8	0.846999883652	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	332.8	2.6
-	-	-	-	-	-	-	-	-	rest	335.4	2.6
1450.00004768	450	6	0.522000074387	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	338	2.6
-	-	-	-	-	-	-	-	-	rest	340.6	2.6
1451.00021362	450	6	0.593000173569	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	343.2	2.6
-	-	-	-	-	-	-	-	-	rest	345.8	2.6
1453.00006866	450	8	0.857000112534	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	348.4	2.6
-	-	-	-	-	-	-	-	-	rest	351	2.6
1456.00008965	450	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	353.6	2.6
-	-	-	-	-	-	-	-	-	rest	356.2	2.6
1450.00004768	400	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	358.8	2.6
-	-	-	-	-	-	-	-	-	rest	361.4	2.6
1401.00002289	450	6	0.589999914169	1	0	left	undefined	undefined	undefined_undefined	364	2.6
-	-	-	-	-	-	-	-	-	rest	366.6	2.6
1453.99999619	450	6	0.657999992371	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	369.2	2.6
-	-	-	-	-	-	-	-	-	rest	371.8	2.6
1453.99999619	500	6	0.65499997139	1	0	left	undefined	undefined	undefined_undefined	374.4	2.6
-	-	-	-	-	-	-	-	-	rest	377	2.6
1502.00009346	500	8	0.668000221252	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	379.6	2.6
-	-	-	-	-	-	-	-	-	rest	382.2	2.6
1509.00006294	500	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	384.8	2.6
-	-	-	-	-	-	-	-	-	rest	387.4	2.6
1503.00002098	500	8	0.450000047684	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	390	2.6
-	-	-	-	-	-	-	-	-	rest	392.6	2.6
1504.99987602	550	6	0.712999820709	1	0	left	undefined	undefined	undefined_undefined	395.2	2.6
-	-	-	-	-	-	-	-	-	rest	397.8	2.6
1561.00010872	500	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	400.4	2.6
-	-	-	-	-	-	-	-	-	rest	403	2.6
1507.999897	500	8	0.628000020981	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	405.6	2.6
-	-	-	-	-	-	-	-	-	rest	408.2	2.6
1509.99999046	500	8	0.519999980927	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	410.8	2.6
-	-	-	-	-	-	-	-	-	rest	413.4	2.6
1509.99999046	450	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	416	2.6
-	-	-	-	-	-	-	-	-	rest	418.6	2.6
1456.99977875	450	8	0.688999891281	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	421.2	2.6
-	-	-	-	-	-	-	-	-	rest	423.8	2.6
1455.99985123	450	6	0.710999965668	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	426.4	2.6
-	-	-	-	-	-	-	-	-	rest	429	2.6
1462.00013161	500	6	1.10199999809	1	0	left	undefined	undefined	undefined_undefined	431.6	2.6
-	-	-	-	-	-	-	-	-	rest	434.2	2.6
1509.00006294	550	8	0.506000041962	1	0	right	undefined	undefined	undefined_undefined	436.8	2.6
-	-	-	-	-	-	-	-	-	rest	439.4	2.6
1560.9998703	550	6	0.753999948502	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	442	2.6
-	-	-	-	-	-	-	-	-	rest	444.6	2.6
1561.99979782	550	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	447.2	2.6
-	-	-	-	-	-	-	-	-	rest	449.8	2.6
1552.9999733	550	6	0.671000003815	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	452.4	2.6
-	-	-	-	-	-	-	-	-	rest	455	2.6
1553.99990082	550	8	0.585999965668	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	457.6	2.6
-	-	-	-	-	-	-	-	-	rest	460.2	2.6
1558.00008774	550	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	462.8	2.6
-	-	-	-	-	-	-	-	-	rest	465.4	2.6
1558.00008774	550	6	0.584000110626	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	468	2.6
-	-	-	-	-	-	-	-	-	rest	470.6	2.6
1558.99977684	550	8	0.480999946594	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	473.2	2.6
-	-	-	-	-	-	-	-	-	rest	475.8	2.6
1560.0001812	500	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	478.4	2.6
-	-	-	-	-	-	-	-	-	rest	481	2.6
1507.0002079	500	6	0.56200003624	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	483.6	2.6
-	-	-	-	-	-	-	-	-	rest	486.2	2.6
1501.99985504	550	8	0.648000001907	1	0	right	undefined	undefined	undefined_undefined	488.8	2.6
-	-	-	-	-	-	-	-	-	rest	491.4	2.6
1559.99994278	550	6	0.59700012207	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	494	2.6
-	-	-	-	-	-	-	-	-	rest	496.6	2.6
1550.99987984	550	8	0.52599978447	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	499.2	2.6
-	-	-	-	-	-	-	-	-	rest	501.8	2.6
1558.00008774	550	8	0.549000024796	0	0	right	correct_nonstop	correct_right	correct_nonstop_correct_right	504.4	2.6
-	-	-	-	-	-	-	-	-	rest	507	2.6
1562.00003624	600	8	0.556999921799	1	0	right	undefined	undefined	undefined_undefined	509.6	2.6
-	-	-	-	-	-	-	-	-	rest	512.2	2.6
1608.99996758	600	6	0.703000068665	0	0	left	correct_nonstop	correct_left	correct_nonstop_correct_left	514.8	2.6
-	-	-	-	-	-	-	-	-	rest	517.4	2.6
